timestamp,cpustatus
2016-12-23 11:56:26,  3
2016-12-23 11:56:29,  3
2016-12-23 11:56:33,  5.3
2016-12-23 11:56:36,  7.9
2016-12-23 11:56:39,  7.9
2016-12-23 11:56:42,  13
2016-12-23 11:56:45,  13
2016-12-23 11:56:48,  13
2016-12-23 11:56:51,  13
2016-12-23 11:56:55,  13
2016-12-23 11:56:58,  56
2016-12-23 11:57:01,  56
